date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2011-05-14,64,41.0,,0.41,26.24
2011-05-15,60,41.0,,0.41,24.599999999999998
2011-05-16,74,41.0,,0.41,30.34
2011-05-17,64,41.0,,0.41,26.24
2011-05-18,83,41.0,,0.41,34.03
2011-05-19,61,41.0,,0.41,25.009999999999998
2011-05-20,64,41.0,,0.41,26.24
2011-05-21,36,41.0,,0.41,14.76
2011-05-22,87,41.0,,0.41,35.669999999999995
2011-05-23,74,41.0,,0.41,30.34
2011-05-24,77,41.0,,0.41,31.569999999999997
2011-05-25,60,41.0,,0.41,24.599999999999998
2011-05-26,59,41.0,,0.41,24.189999999999998
2011-05-27,77,41.0,,0.41,31.569999999999997
2011-05-28,64,41.0,,0.41,26.24
2011-05-29,50,41.0,,0.41,20.5
2011-05-30,61,41.0,,0.41,25.009999999999998
2011-05-31,100,41.0,,0.41,41.0
2011-06-01,27,61.0,False,0.61,16.47
2011-06-02,31,61.0,,0.61,18.91
2011-06-03,22,61.0,,0.61,13.42
2011-06-04,22,61.0,,0.61,13.42
2011-06-05,37,61.0,,0.61,22.57
2011-06-06,34,61.0,,0.61,20.74
2011-06-07,40,61.0,,0.61,24.4
2011-06-08,31,61.0,,0.61,18.91
2011-06-09,38,61.0,,0.61,23.18
2011-06-10,35,61.0,,0.61,21.349999999999998
2011-06-11,32,61.0,,0.61,19.52
2011-06-12,42,61.0,,0.61,25.62
2011-06-13,36,61.0,,0.61,21.96
2011-06-14,27,61.0,,0.61,16.47
2011-06-15,30,61.0,,0.61,18.3
2011-06-16,38,61.0,,0.61,23.18
2011-06-17,32,61.0,,0.61,19.52
2011-06-18,40,61.0,,0.61,24.4
2011-06-19,35,61.0,,0.61,21.349999999999998
2011-06-20,50,61.0,,0.61,30.5
2011-06-21,33,61.0,,0.61,20.13
2011-06-22,46,61.0,,0.61,28.06
2011-06-23,28,61.0,,0.61,17.08
2011-06-24,42,61.0,,0.61,25.62
2011-06-25,34,61.0,,0.61,20.74
2011-06-26,60,61.0,,0.61,36.6
2011-06-27,100,61.0,,0.61,61.0
2011-06-28,63,61.0,,0.61,38.43
2011-06-29,54,61.0,,0.61,32.94
2011-06-30,48,61.0,,0.61,29.28
2011-07-01,32,73.0,False,0.73,23.36
2011-07-02,42,73.0,,0.73,30.66
2011-07-03,52,73.0,,0.73,37.96
2011-07-04,100,73.0,,0.73,73.0
2011-07-05,46,73.0,,0.73,33.58
2011-07-06,46,73.0,,0.73,33.58
2011-07-07,41,73.0,,0.73,29.93
2011-07-08,37,73.0,,0.73,27.009999999999998
2011-07-09,45,73.0,,0.73,32.85
2011-07-10,56,73.0,,0.73,40.879999999999995
2011-07-11,62,73.0,,0.73,45.26
2011-07-12,52,73.0,,0.73,37.96
2011-07-13,42,73.0,,0.73,30.66
2011-07-14,38,73.0,,0.73,27.74
2011-07-15,43,73.0,,0.73,31.39
2011-07-16,39,73.0,,0.73,28.47
2011-07-17,30,73.0,,0.73,21.9
2011-07-18,72,73.0,,0.73,52.56
2011-07-19,37,73.0,,0.73,27.009999999999998
2011-07-20,38,73.0,,0.73,27.74
2011-07-21,48,73.0,,0.73,35.04
2011-07-22,49,73.0,,0.73,35.769999999999996
2011-07-23,32,73.0,,0.73,23.36
2011-07-24,55,73.0,,0.73,40.15
2011-07-25,70,73.0,,0.73,51.1
2011-07-26,40,73.0,,0.73,29.2
2011-07-27,42,73.0,,0.73,30.66
2011-07-28,37,73.0,,0.73,27.009999999999998
2011-07-29,32,73.0,,0.73,23.36
